mode,c,topology,rep,pstar,status,rmse
opposite,0.0,F,0,0.09887323943661973,in,0.016497364452519283
opposite,0.0,D,0,0.10142857142857144,in,0.048469703878525824
opposite,0.0,C,0,0.4827433628318584,in,0.009647295381835529
opposite,0.0,C_vis,0,0.12964285714285714,in,0.01785563696634401
opposite,0.0,M_perf,0,0.10058823529411766,in,0.01711697036487849
opposite,0.0,M_axis,0,nan,above,0.03169855508035483
opposite,0.0,S,0,0.09887323943661973,in,0.016497364452519283
opposite,0.2,F,0,0.08525,in,0.015789538814792305
opposite,0.2,D,0,0.08489795918367347,in,0.04329358939039676
opposite,0.2,C,0,nan,above,0.008941932325893917
opposite,0.2,C_vis,0,0.10806451612903226,in,0.01675035307857853
opposite,0.2,M_perf,0,0.083125,in,0.015746763276613018
opposite,0.2,M_axis,0,nan,above,0.03328097857862935
opposite,0.2,S,0,0.08525,in,0.015789538814792305
opposite,0.4,F,0,0.07755555555555556,in,0.014997229988787195
opposite,0.4,D,0,0.07744000000000001,in,0.04141644676322072
opposite,0.4,C,0,nan,above,0.008041824473152015
opposite,0.4,C_vis,0,0.07967741935483871,in,0.01490288568700177
opposite,0.4,M_perf,0,0.07770992366412215,in,0.015029403532302315
opposite,0.4,M_axis,0,nan,above,0.03546913351281907
opposite,0.4,S,0,0.07755555555555556,in,0.014997229988787195
opposite,0.6,F,0,0.07130434782608697,in,0.014566243653908639
opposite,0.6,D,0,0.06495901639344262,in,0.03846492731504986
opposite,0.6,C,0,nan,above,0.007007477122719695
opposite,0.6,C_vis,0,0.0740677966101695,in,0.014625203795941222
opposite,0.6,M_perf,0,0.07130434782608697,in,0.014602235077798637
opposite,0.6,M_axis,0,nan,above,0.03884121914957882
opposite,0.6,S,0,0.07130434782608697,in,0.014566243653908642
opposite,0.8,F,0,0.06171875,in,0.013555299785993053
opposite,0.8,D,0,0.062,in,0.03782953958203596
opposite,0.8,C,0,nan,above,0.005627507106250169
opposite,0.8,C_vis,0,0.06333333333333334,in,0.013764811366947266
opposite,0.8,M_perf,0,0.06208333333333334,in,0.01367387411852952
opposite,0.8,M_axis,0,nan,above,0.04390675119016523
opposite,0.8,S,0,0.06171875,in,0.013555299785993055
opposite,1.0,F,0,0.055,below,0.012996436666407863
opposite,1.0,D,0,0.055,below,0.03547268168335659
opposite,1.0,C,0,nan,above,0.0033760310275389336
opposite,1.0,C_vis,0,0.055,below,0.012849172593942984
opposite,1.0,M_perf,0,0.055,below,0.01332410753721009
opposite,1.0,M_axis,0,nan,above,0.054362719524921
opposite,1.0,S,0,0.055,below,0.012996436666407863
scatter,0.0,F,0,0.09966666666666667,in,0.016559841542072164
scatter,0.0,D,0,0.10095238095238096,in,0.04826869725561607
scatter,0.0,C,0,0.48333333333333334,in,0.00968445942557531
scatter,0.0,C_vis,0,0.13171875,in,0.017805809804192753
scatter,0.0,M_perf,0,0.10266666666666667,in,0.01707013561442585
scatter,0.0,M_axis,0,nan,above,0.031659418665297805
scatter,0.0,S,0,0.09966666666666667,in,0.016559841542072164
scatter,0.2,F,0,0.10375000000000001,in,0.017452287561775002
scatter,0.2,D,0,0.10097560975609757,in,0.04828404014069362
scatter,0.2,C,0,0.47750000000000004,in,0.01094337381201754
scatter,0.2,C_vis,0,0.12840000000000001,in,0.018400678461446537
scatter,0.2,M_perf,0,0.10340425531914894,in,0.0174661372417019
scatter,0.2,M_axis,0,nan,above,0.035969986052478836
scatter,0.2,S,0,0.10375000000000001,in,0.017452287561775002
scatter,0.4,F,0,0.10232558139534885,in,0.01916753022752085
scatter,0.4,D,0,0.099375,in,0.046404670098255864
scatter,0.4,C,0,0.4466386554621849,in,0.012282201000243947
scatter,0.4,C_vis,0,0.13131147540983606,in,0.020560393968470824
scatter,0.4,M_perf,0,0.10250000000000001,in,0.01912090829267396
scatter,0.4,M_axis,0,nan,above,0.04696696864861649
scatter,0.4,S,0,0.10232558139534885,in,0.01916753022752086
scatter,0.6,F,0,0.0988888888888889,in,0.020913660477712825
scatter,0.6,D,0,0.1,in,0.047412787183182536
scatter,0.6,C,0,0.42619047619047623,in,0.01567315646944691
scatter,0.6,C_vis,0,0.13285714285714284,in,0.023763992086559146
scatter,0.6,M_perf,0,0.10297872340425533,in,0.021922372554253756
scatter,0.6,M_axis,0,nan,above,0.060932085102572586
scatter,0.6,S,0,0.0988888888888889,in,0.020913660477712825
scatter,0.8,F,0,0.1,in,0.024315063254541355
scatter,0.8,D,0,0.10162162162162162,in,0.050872494586842204
scatter,0.8,C,0,0.39508928571428575,in,0.016348807164062226
scatter,0.8,C_vis,0,0.132,in,0.027937851104734093
scatter,0.8,M_perf,0,0.09857142857142859,in,0.02420717949206584
scatter,0.8,M_axis,0,nan,above,0.07617150414799678
scatter,0.8,S,0,0.1,in,0.024315063254541355
scatter,1.0,F,0,0.10465116279069768,in,0.029398265837989133
scatter,1.0,D,0,0.10350000000000001,in,0.05190903457369607
scatter,1.0,C,0,0.3754716981132076,in,0.01970404734507002
scatter,1.0,C_vis,0,0.1346938775510204,in,0.03249073554091816
scatter,1.0,M_perf,0,0.09820512820512821,in,0.02782660261438354
scatter,1.0,M_axis,0,nan,above,0.09294199566434085
scatter,1.0,S,0,0.10465116279069768,in,0.029398265837989133
